Bone Name,Volume (mm^3),x,z,y,Position
Axis,12034.8,-0.626405,-67.818581,1453.233032,The most inferior (bottom) bone of the skull
Atlas,9925.4,-0.637418,-68.915169,1471.28418,
Ethmoid,16883.2,-0.556344,-142.881516,1512.707275,
Frontal Bone,95262.9,-0.246192,-148.400925,1571.834473,
Left Inferior Nasal Concha,1018.4,8.561314,-152.798752,1489.230225,
Left Lacrimal Bone,801.6,11.975845,-158.903595,1510.096802,
Left Maxilla,25017.77,20.05438,-152.831497,1487.755157,
Left Nasal Bone,760.35,2.763364,-179.872375,1517.675903,
Left Palatine Bone,4415.3,11.904681,-131.23468,1489.193726,
Left Temporal Bone,37211.44,48.901005,-78.864807,1510.281006,
Left Zygomatic Bone,5744.5,47.7756,-145.359604,1505.002319,
Left Parietal Bone,79568.09,43.880527,-49.662395,1589.88562,
Occipital Bone,85202.29,-0.654902,-22.499468,1514.511353,
Perpendicular Plate of Ethmoid,1593.31,-0.315933,-161.36528,1511.915161,
Right Inferior Nasal Concha,930.12,-11.06448,-147.439789,1487.944824,
Right Lacrimal Bone,618.7,-13.052083,-158.300552,1511.568237,
Right Maxilla,23526.72,-21.851168,-153.56366,1488.068726,
Right Nasal Bone,911.61,-3.971728,-180.049774,1515.979736,
Right Palatine Bone,4415.75,-13.398826,-131.573715,1489.337402,
Right Temporal Bone,37048.67,-50.236996,-78.804047,1510.259155,
Right Zygomatic Bone,5664.111816,-48.992119,-145.262772,1505.248901,
Right Parietal Bone,78011.8,-45.778461,-49.1348,1589.499634,
Mandible,52596.07422,-0.618514,-132.681335,1453.807983,
Sphenoid Bone,47589.94,-0.332948,-116.467972,1517.776001,
